date,country,gdp,series_code
1/1/1990,Australia,158051.1324,NYGDPMKTPSAKD
4/1/1990,Australia,158263.5816,NYGDPMKTPSAKD
7/1/1990,Australia,157329.279,NYGDPMKTPSAKD
9/1/1990,Australia,158240.6781,NYGDPMKTPSAKD
1/1/1991,Australia,156195.9535,NYGDPMKTPSAKD
4/1/1991,Australia,155989.0327,NYGDPMKTPSAKD
7/1/1991,Australia,156635.8576,NYGDPMKTPSAKD
9/1/1991,Australia,156744.0566,NYGDPMKTPSAKD
1/1/1992,Australia,157916.0811,NYGDPMKTPSAKD
4/1/1992,Australia,159047.8271,NYGDPMKTPSAKD
7/1/1992,Australia,160658.176,NYGDPMKTPSAKD
9/1/1992,Australia,163960.2207,NYGDPMKTPSAKD
1/1/1993,Australia,165097.4951,NYGDPMKTPSAKD
4/1/1993,Australia,166027.059,NYGDPMKTPSAKD
7/1/1993,Australia,166203.1786,NYGDPMKTPSAKD
9/1/1993,Australia,169279.3479,NYGDPMKTPSAKD
1/1/1990,Sweden,79837.84599,NYGDPMKTPSAKD
4/1/1990,Sweden,80582.28597,NYGDPMKTPSAKD
7/1/1990,Sweden,79974.36017,NYGDPMKTPSAKD
9/1/1990,Sweden,80106.49738,NYGDPMKTPSAKD
1/1/1991,Sweden,79524.24192,NYGDPMKTPSAKD
4/1/1991,Sweden,79073.05901,NYGDPMKTPSAKD
7/1/1991,Sweden,79084.77036,NYGDPMKTPSAKD
9/1/1991,Sweden,79740.60625,NYGDPMKTPSAKD
1/1/1992,Sweden,79390.92175,NYGDPMKTPSAKD
4/1/1992,Sweden,79060.28298,NYGDPMKTPSAKD
7/1/1992,Sweden,78904.60477,NYGDPMKTPSAKD
9/1/1992,Sweden,76996.83684,NYGDPMKTPSAKD
1/1/1993,Sweden,75783.58777,NYGDPMKTPSAKD
4/1/1993,Sweden,76708.54823,NYGDPMKTPSAKD
7/1/1993,Sweden,77662.01816,NYGDPMKTPSAKD
9/1/1993,Sweden,77703.30364,NYGDPMKTPSAKD
